strain	Antibiotic	Resistance.phenotype	WT_vs_nonWT	nonWT_binary	resistant	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact
ERR3480110	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480110	SAMEA4781712	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480111	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480111	SAMEA4781713	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480112	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480112	SAMEA4781714	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480113	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480113	SAMEA4781715	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480114	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480114	SAMEA4781716	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480115	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480115	SAMEA4781717	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480116	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480116	SAMEA4781718	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480117	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480117	SAMEA4781719	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480118	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480118	SAMEA4781720	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480119	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480119	SAMEA4781721	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480121	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480121	SAMEA4781723	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480122	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480122	SAMEA4781725	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480129	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480129	SAMEA4781734	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480130	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480130	SAMEA4781737	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480131	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480131	SAMEA4781738	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480132	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480132	SAMEA4781739	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480134	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480134	SAMEA4781741	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480135	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480135	SAMEA4781742	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480136	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480136	SAMEA4781743	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480137	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480137	SAMEA4781744	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480138	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480138	SAMEA4781745	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480140	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480140	SAMEA4781747	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480141	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480141	SAMEA4781748	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480143	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480143	SAMEA4781750	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480144	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480144	SAMEA4781751	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480148	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480148	SAMEA4781843	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480154	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480154	SAMEA4781850	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480155	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480155	SAMEA4781851	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480158	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480158	SAMEA4781854	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480160	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480160	SAMEA4781856	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480165	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480165	SAMEA4781861	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480166	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480166	SAMEA4781862	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480169	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480169	SAMEA4781865	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480170	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480170	SAMEA4781866	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480171	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480171	SAMEA4781867	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480173	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480173	SAMEA4781869	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480174	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480174	SAMEA4781871	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480175	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480175	SAMEA4781872	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480176	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480176	SAMEA4781873	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480177	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480177	SAMEA4781874	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480178	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480178	SAMEA4781875	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480179	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480179	SAMEA4781876	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480180	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480180	SAMEA4781877	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480181	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480181	SAMEA4781878	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480182	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480182	SAMEA4781879	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480183	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480183	SAMEA4781880	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480184	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480184	SAMEA4781881	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480185	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480185	SAMEA4781882	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480187	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480187	SAMEA4781885	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480188	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480188	SAMEA4781886	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480190	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480190	SAMEA4781888	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480192	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480192	SAMEA4781890	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480193	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480193	SAMEA4781891	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480198	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480198	SAMEA4781896	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480203	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480203	SAMEA4781902	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480204	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480204	SAMEA4781903	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480205	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480205	SAMEA4781904	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480208	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480208	SAMEA4781907	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480209	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480209	SAMEA4781909	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480210	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480210	SAMEA4781910	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480212	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480212	SAMEA4781913	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480215	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480215	SAMEA4781917	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480219	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480219	SAMEA4781923	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480225	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480225	SAMEA4781929	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480226	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480226	SAMEA4781119	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480228	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480228	SAMEA4781121	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480229	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480229	SAMEA4781122	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480230	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480230	SAMEA4781123	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480231	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480231	SAMEA4781124	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480232	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480232	SAMEA4781125	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480233	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480233	SAMEA4781126	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480234	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480234	SAMEA4781127	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480235	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480235	SAMEA4781128	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480236	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480236	SAMEA4781132	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480237	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480237	SAMEA4781135	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480239	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480239	SAMEA4781138	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480240	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480240	SAMEA4781140	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480248	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480248	SAMEA4781152	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480251	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480251	SAMEA4781157	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480252	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480252	SAMEA4781158	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480254	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480254	SAMEA4781160	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480255	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480255	SAMEA4781161	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480256	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480256	SAMEA4781162	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480257	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480257	SAMEA4781163	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480258	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480258	SAMEA4781164	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480259	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480259	SAMEA4781165	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480260	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480260	SAMEA4781168	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480261	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480261	SAMEA4781169	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480262	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480262	SAMEA4781170	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480263	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480263	SAMEA4781171	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480264	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480264	SAMEA4781173	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480265	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480265	SAMEA4781174	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480266	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480266	SAMEA4781178	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480268	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480268	SAMEA4781180	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480269	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480269	SAMEA4781182	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480270	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480270	SAMEA4781183	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480271	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480271	SAMEA4781184	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480272	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480272	SAMEA4781185	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480273	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480273	SAMEA4781186	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480274	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480274	SAMEA4781187	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480275	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480275	SAMEA4781188	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480276	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480276	SAMEA4781189	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480277	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480277	SAMEA4781190	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480278	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480278	SAMEA4781191	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480279	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480279	SAMEA4781192	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480280	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480280	SAMEA4781193	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480281	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480281	SAMEA4781194	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480282	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480282	SAMEA4781195	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480283	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480283	SAMEA4781197	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480284	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480284	SAMEA4781198	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480285	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480285	SAMEA4781199	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480286	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480286	SAMEA4781200	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
ERR3480287	ciprofloxacin	R	non-wt (I/R)	1	1	>	1	mg/L	MIC (broth dilution)	EUCAST	NA	Phoenix	NA	NA	ERR3480287	SAMEA4781203	PRJEB27342	36411354	Edward Feil (e.feil@bath.ac.uk)
